# qx qy lindhard_output_plain_off_-0.100eV
0.37755102 0.37755102 0.00000000
0.37755102 0.39795918 0.00000000
0.37755102 0.41836735 0.00000000
0.37755102 0.43877551 0.00000000
0.37755102 0.45918367 0.00000000
0.37755102 0.47959184 0.00000000
0.37755102 0.50000000 0.00000000
0.39795918 -0.50000000 0.00000000
0.39795918 -0.47959184 0.00000000
0.39795918 -0.45918367 0.00000000
0.39795918 -0.43877551 0.00000000
0.39795918 -0.41836735 0.00000000
0.39795918 -0.39795918 0.00000000
0.39795918 -0.37755102 0.00000000
0.39795918 -0.35714286 0.00000000
0.39795918 -0.33673469 0.00000000
0.39795918 -0.31632653 0.00000000
0.39795918 -0.29591837 0.00000000
0.39795918 -0.27551020 0.00000000
0.39795918 -0.25510204 0.00000000
0.39795918 -0.23469388 0.00000000
0.39795918 -0.21428571 0.00000000
0.39795918 -0.19387755 0.00000000
0.39795918 -0.17346939 0.00000000
0.39795918 -0.15306122 0.00000000
0.39795918 -0.13265306 0.00000000
0.39795918 -0.11224490 0.00000000
0.39795918 -0.09183673 0.00000000
0.39795918 -0.07142857 0.00000000
0.39795918 -0.05102041 0.00000000
0.39795918 -0.03061224 0.00000000
0.39795918 -0.01020408 0.00000000
0.39795918 0.01020408 0.00000000
0.39795918 0.03061224 0.00000000
0.39795918 0.05102041 0.00000000
0.39795918 0.07142857 0.00000000
0.39795918 0.09183673 0.00000000
0.39795918 0.11224490 0.00000000
0.39795918 0.13265306 0.00000000
0.39795918 0.15306122 0.00000000
0.39795918 0.17346939 0.00000000
0.39795918 0.19387755 0.00000000
0.39795918 0.21428571 0.00000000
0.39795918 0.23469388 0.00000000
0.39795918 0.25510204 0.00000000
0.39795918 0.27551020 0.00000000
0.39795918 0.29591837 0.00000000
0.39795918 0.31632653 0.00000000
0.39795918 0.33673469 0.00000000
0.39795918 0.35714286 0.00000000
0.39795918 0.37755102 0.00000000
0.39795918 0.39795918 0.00000000
0.39795918 0.41836735 0.00000000
0.39795918 0.43877551 0.00000000
0.39795918 0.45918367 0.00000000
0.39795918 0.47959184 0.00000000
0.39795918 0.50000000 0.00000000
0.41836735 -0.50000000 0.00000000
0.41836735 -0.47959184 0.00000000
0.41836735 -0.45918367 0.00000000
0.41836735 -0.43877551 0.00000000
0.41836735 -0.41836735 0.00000000
0.41836735 -0.39795918 0.00000000
0.41836735 -0.37755102 0.00000000
0.41836735 -0.35714286 0.00000000
0.41836735 -0.33673469 0.00000000
0.41836735 -0.31632653 0.00000000
0.41836735 -0.29591837 0.00000000
0.41836735 -0.27551020 0.00000000
0.41836735 -0.25510204 0.00000000
0.41836735 -0.23469388 0.00000000
0.41836735 -0.21428571 0.00000000
0.41836735 -0.19387755 0.00000000
0.41836735 -0.17346939 0.00000000
0.41836735 -0.15306122 0.00000000
0.41836735 -0.13265306 0.00000000
0.41836735 -0.11224490 0.00000000
0.41836735 -0.09183673 0.00000000
0.41836735 -0.07142857 0.00000000
0.41836735 -0.05102041 0.00000000
0.41836735 -0.03061224 0.00000000
0.41836735 -0.01020408 0.00000000
0.41836735 0.01020408 0.00000000
0.41836735 0.03061224 0.00000000
0.41836735 0.05102041 0.00000000
0.41836735 0.07142857 0.00000000
0.41836735 0.09183673 0.00000000
0.41836735 0.11224490 0.00000000
0.41836735 0.13265306 0.00000000
0.41836735 0.15306122 0.00000000
0.41836735 0.17346939 0.00000000
0.41836735 0.19387755 0.00000000
0.41836735 0.21428571 0.00000000
0.41836735 0.23469388 0.00000000
0.41836735 0.25510204 0.00000000
0.41836735 0.27551020 0.00000000
0.41836735 0.29591837 0.00000000
0.41836735 0.31632653 0.00000000
0.41836735 0.33673469 0.00000000
0.41836735 0.35714286 0.00000000
0.41836735 0.37755102 0.00000000
0.41836735 0.39795918 0.00000000
0.41836735 0.41836735 0.00000000
0.41836735 0.43877551 0.00000000
0.41836735 0.45918367 0.00000000
0.41836735 0.47959184 0.00000000
0.41836735 0.50000000 0.00000000
0.43877551 -0.50000000 0.00000000
0.43877551 -0.47959184 0.00000000
0.43877551 -0.45918367 0.00000000
0.43877551 -0.43877551 0.00000000
0.43877551 -0.41836735 0.00000000
0.43877551 -0.39795918 0.00000000
0.43877551 -0.37755102 0.00000000
0.43877551 -0.35714286 0.00000000
0.43877551 -0.33673469 0.00000000
0.43877551 -0.31632653 0.00000000
0.43877551 -0.29591837 0.00000000
0.43877551 -0.27551020 0.00000000
0.43877551 -0.25510204 0.00000000
0.43877551 -0.23469388 0.00000000
0.43877551 -0.21428571 0.00000000
0.43877551 -0.19387755 0.00000000
0.43877551 -0.17346939 0.00000000
0.43877551 -0.15306122 0.00000000
0.43877551 -0.13265306 0.00000000
0.43877551 -0.11224490 0.00000000
0.43877551 -0.09183673 0.00000000
0.43877551 -0.07142857 0.00000000
0.43877551 -0.05102041 0.00000000
0.43877551 -0.03061224 0.00000000
0.43877551 -0.01020408 0.00000000
0.43877551 0.01020408 0.00000000
0.43877551 0.03061224 0.00000000
0.43877551 0.05102041 0.00000000
0.43877551 0.07142857 0.00000000
0.43877551 0.09183673 0.00000000
0.43877551 0.11224490 0.00000000
0.43877551 0.13265306 0.00000000
0.43877551 0.15306122 0.00000000
0.43877551 0.17346939 0.00000000
0.43877551 0.19387755 0.00000000
0.43877551 0.21428571 0.00000000
0.43877551 0.23469388 0.00000000
0.43877551 0.25510204 0.00000000
0.43877551 0.27551020 0.00000000
0.43877551 0.29591837 0.00000000
0.43877551 0.31632653 0.00000000
0.43877551 0.33673469 0.00000000
0.43877551 0.35714286 0.00000000
0.43877551 0.37755102 0.00000000
0.43877551 0.39795918 0.00000000
0.43877551 0.41836735 0.00000000
0.43877551 0.43877551 0.00000000
0.43877551 0.45918367 0.00000000
0.43877551 0.47959184 0.00000000
0.43877551 0.50000000 0.00000000
0.45918367 -0.50000000 0.00000000
0.45918367 -0.47959184 0.00000000
0.45918367 -0.45918367 0.00000000
0.45918367 -0.43877551 0.00000000
0.45918367 -0.41836735 0.00000000
0.45918367 -0.39795918 0.00000000
0.45918367 -0.37755102 0.00000000
0.45918367 -0.35714286 0.00000000
0.45918367 -0.33673469 0.00000000
0.45918367 -0.31632653 0.00000000
0.45918367 -0.29591837 0.00000000
0.45918367 -0.27551020 0.00000000
0.45918367 -0.25510204 0.00000000
0.45918367 -0.23469388 0.00000000
0.45918367 -0.21428571 0.00000000
0.45918367 -0.19387755 0.00000000
0.45918367 -0.17346939 0.00000000
0.45918367 -0.15306122 0.00000000
0.45918367 -0.13265306 0.00000000
0.45918367 -0.11224490 0.00000000
0.45918367 -0.09183673 0.00000000
0.45918367 -0.07142857 0.00000000
0.45918367 -0.05102041 0.00000000
0.45918367 -0.03061224 0.00000000
0.45918367 -0.01020408 0.00000000
0.45918367 0.01020408 0.00000000
0.45918367 0.03061224 0.00000000
0.45918367 0.05102041 0.00000000
0.45918367 0.07142857 0.00000000
0.45918367 0.09183673 0.00000000
0.45918367 0.11224490 0.00000000
0.45918367 0.13265306 0.00000000
0.45918367 0.15306122 0.00000000
0.45918367 0.17346939 0.00000000
0.45918367 0.19387755 0.00000000
0.45918367 0.21428571 0.00000000
0.45918367 0.23469388 0.00000000
0.45918367 0.25510204 0.00000000
0.45918367 0.27551020 0.00000000
0.45918367 0.29591837 0.00000000
0.45918367 0.31632653 0.00000000
0.45918367 0.33673469 0.00000000
0.45918367 0.35714286 0.00000000
0.45918367 0.37755102 0.00000000
0.45918367 0.39795918 0.00000000
0.45918367 0.41836735 0.00000000
0.45918367 0.43877551 0.00000000
0.45918367 0.45918367 0.00000000
0.45918367 0.47959184 0.00000000
0.45918367 0.50000000 0.00000000
0.47959184 -0.50000000 0.00000000
0.47959184 -0.47959184 0.00000000
0.47959184 -0.45918367 0.00000000
0.47959184 -0.43877551 0.00000000
0.47959184 -0.41836735 0.00000000
0.47959184 -0.39795918 0.00000000
0.47959184 -0.37755102 0.00000000
0.47959184 -0.35714286 0.00000000
0.47959184 -0.33673469 0.00000000
0.47959184 -0.31632653 0.00000000
0.47959184 -0.29591837 0.00000000
0.47959184 -0.27551020 0.00000000
0.47959184 -0.25510204 0.00000000
0.47959184 -0.23469388 0.00000000
0.47959184 -0.21428571 0.00000000
0.47959184 -0.19387755 0.00000000
0.47959184 -0.17346939 0.00000000
0.47959184 -0.15306122 0.00000000
0.47959184 -0.13265306 0.00000000
0.47959184 -0.11224490 0.00000000
0.47959184 -0.09183673 0.00000000
0.47959184 -0.07142857 0.00000000
0.47959184 -0.05102041 0.00000000
0.47959184 -0.03061224 0.00000000
0.47959184 -0.01020408 0.00000000
0.47959184 0.01020408 0.00000000
0.47959184 0.03061224 0.00000000
0.47959184 0.05102041 0.00000000
0.47959184 0.07142857 0.00000000
0.47959184 0.09183673 0.00000000
0.47959184 0.11224490 0.00000000
0.47959184 0.13265306 0.00000000
0.47959184 0.15306122 0.00000000
0.47959184 0.17346939 0.00000000
0.47959184 0.19387755 0.00000000
0.47959184 0.21428571 0.00000000
0.47959184 0.23469388 0.00000000
0.47959184 0.25510204 0.00000000
0.47959184 0.27551020 0.00000000
0.47959184 0.29591837 0.00000000
0.47959184 0.31632653 0.00000000
0.47959184 0.33673469 0.00000000
0.47959184 0.35714286 0.00000000
0.47959184 0.37755102 0.00000000
0.47959184 0.39795918 0.00000000
0.47959184 0.41836735 0.00000000
0.47959184 0.43877551 0.00000000
0.47959184 0.45918367 0.00000000
0.47959184 0.47959184 0.00000000
0.47959184 0.50000000 0.00000000
0.50000000 -0.50000000 0.00000000
0.50000000 -0.47959184 0.00000000
0.50000000 -0.45918367 0.00000000
0.50000000 -0.43877551 0.00000000
0.50000000 -0.41836735 0.00000000
0.50000000 -0.39795918 0.00000000
0.50000000 -0.37755102 0.00000000
0.50000000 -0.35714286 0.00000000
0.50000000 -0.33673469 0.00000000
0.50000000 -0.31632653 0.00000000
0.50000000 -0.29591837 0.00000000
0.50000000 -0.27551020 0.00000000
0.50000000 -0.25510204 0.00000000
0.50000000 -0.23469388 0.00000000
0.50000000 -0.21428571 0.00000000
0.50000000 -0.19387755 0.00000000
0.50000000 -0.17346939 0.00000000
0.50000000 -0.15306122 0.00000000
0.50000000 -0.13265306 0.00000000
0.50000000 -0.11224490 0.00000000
0.50000000 -0.09183673 0.00000000
0.50000000 -0.07142857 0.00000000
0.50000000 -0.05102041 0.00000000
0.50000000 -0.03061224 0.00000000
0.50000000 -0.01020408 0.00000000
0.50000000 0.01020408 0.00000000
0.50000000 0.03061224 0.00000000
0.50000000 0.05102041 0.00000000
0.50000000 0.07142857 0.00000000
0.50000000 0.09183673 0.00000000
0.50000000 0.11224490 0.00000000
0.50000000 0.13265306 0.00000000
0.50000000 0.15306122 0.00000000
0.50000000 0.17346939 0.00000000
0.50000000 0.19387755 0.00000000
0.50000000 0.21428571 0.00000000
0.50000000 0.23469388 0.00000000
0.50000000 0.25510204 0.00000000
0.50000000 0.27551020 0.00000000
0.50000000 0.29591837 0.00000000
0.50000000 0.31632653 0.00000000
0.50000000 0.33673469 0.00000000
0.50000000 0.35714286 0.00000000
0.50000000 0.37755102 0.00000000
0.50000000 0.39795918 0.00000000
0.50000000 0.41836735 0.00000000
0.50000000 0.43877551 0.00000000
0.50000000 0.45918367 0.00000000
0.50000000 0.47959184 0.00000000
0.50000000 0.50000000 0.00000000
